model,N,alpha_m,alpha_ann,alpha_t,alpha_p,alpha_ci_lo_ann,alpha_ci_hi_ann,beta,beta_t,r2,r2_adj,smb,hml,mom,group,construction
CAPM,60,-0.0010851824812650518,-0.013022189775180621,-0.6017330146011826,0.5473518701371703,-0.05543804920100246,0.02939366965064122,1.0005289768270287,36.101983743986274,0.953935138118102,0.9531409163615177,,,,trackA_pool_all,long_only
FF4,60,-0.0008078496319055984,-0.00969419558286718,-0.7279057782425404,0.4666712658066142,-0.03579685168127227,0.01640846051553791,0.9852154857300438,34.577667754507,0.9670135171542641,0.9646145002200287,-0.05513488148129847,0.11963866933621423,-0.06251246029820409,trackA_pool_all,long_only
CAPM,60,-0.0030313788639098073,-0.036376546366917686,-1.7543651671448848,0.07936795593662369,-0.07701615897228012,0.0042630662384447356,-0.1430050611014491,-2.9748007689930334,0.19828589727130375,0.18446324032770556,,,,trackA_pool_all,long_short
FF4,60,-0.003114281892431262,-0.037371382709175144,-1.6250731156600031,0.10414698052434361,-0.08244416340845957,0.007701397990109285,-0.138040325776817,-2.7843355348452885,0.21520950430780128,0.15813383189382313,-0.047734628721331704,-0.03838856869420816,-0.01456445722919356,trackA_pool_all,long_short
CAPM,60,-0.002814928684117153,-0.03377914420940584,-1.2614405378121427,0.20715017078949083,-0.08626350957937282,0.01870522116056115,0.9857819756603095,26.530808283377812,0.9171838443222537,0.9157559795691892,,,,trackA_rejected,long_only
FF4,60,-0.0023584224538668835,-0.0283010694464026,-1.738134660617101,0.08218708882411078,-0.060214061055017365,0.0036119221622121656,0.9601641636766285,34.38085102757794,0.9471028464271054,0.9432557807127131,-0.02245060849903978,0.1900925958366581,-0.06850306754017235,trackA_rejected,long_only
CAPM,60,-0.004502705277870748,-0.05403246333444898,-2.6004313257496228,0.009310665246775242,-0.09475712354095255,-0.0133078031279454,-0.11488613580527304,-3.2746522342664104,0.15000164158895923,0.1353464974784241,,,,trackA_rejected,long_short
FF4,60,-0.004456971225831715,-0.05348365470998058,-2.4298688182392643,0.015104288585534103,-0.09662427045280789,-0.01034303896715328,-0.11739500238502704,-3.2411882959843274,0.16060785694360302,0.09956115563041046,-0.011046872496122608,-0.03492037035895623,-0.01682915100673263,trackA_rejected,long_short
CAPM,60,0.0029048242131752156,0.03485789055810259,1.3419824455564462,0.1796016875659927,-0.016052022829468774,0.08576780394567395,1.0307408033761598,19.951022271908368,0.8981348209393353,0.8963785247486342,,,,trackA_selected,long_only
FF4,60,0.002851977604750478,0.034223731257005736,1.5586987024697927,0.11906770903849617,-0.008810423178372648,0.07725788569238412,1.034616024066962,17.067026251221044,0.9036185712694484,0.8966090128163174,-0.14841334146955093,-0.020650123906170072,-0.0695045672597859,trackA_selected,long_only
CAPM,60,-0.00033174964851086187,-0.0039809957821303425,-0.09284160146295208,0.9260294005306866,-0.08802315180520284,0.08006116024094215,-0.17951811213082958,-2.143630589670456,0.09055586687006056,0.07487579560919966,,,,trackA_selected,long_short
FF4,60,-0.0005339244181246142,-0.006407093017495371,-0.15118884045548278,0.8798267531306929,-0.08946660668303316,0.07665242064804242,-0.167417347709564,-1.8939433277647328,0.10651225979737489,0.04153133323718394,-0.11590491145896487,-0.05085653065912543,-0.0309424567401292,trackA_selected,long_short
CAPM,51,-0.0005649642097843964,-0.006779570517412757,-0.09037467468683308,0.9279894809961176,-0.15380874756090704,0.14024960652608154,0.562167631165055,5.152713504494348,0.25456149450817867,0.23934846378385577,,,,trackB_agriculture,long_only
FF4,51,-0.002982356810485533,-0.0357882817258264,-0.49770088059037715,0.6186948873334877,-0.17672382350744348,0.10514726005579068,0.5629028671771787,4.682916724122409,0.3284209607763834,0.2700227834525907,-0.22071175886952693,0.2679835974638171,-0.19323546052593152,trackB_agriculture,long_only
