group,end,alpha_ann,t,beta
trackA_selected,2021-12-31,0.0011726241231515694,0.03714684129285818,0.979510057965134
trackA_selected,2022-01-31,-0.005290498026511735,-0.16224275941098706,0.9809287925498789
trackA_selected,2022-02-28,-0.018689714847389453,-0.5539658533459495,0.9964512179015336
trackA_selected,2022-03-31,0.007408763308323518,0.2595566097105925,0.9619281691459158
trackA_selected,2022-04-30,0.03017764920387648,0.890406073694923,0.9789930865589573
trackA_selected,2022-05-31,0.03670697507577665,1.1326890618727103,0.9927285661441234
trackA_selected,2022-06-30,0.03112412509376156,0.9692797503907723,0.9949440605523214
trackA_selected,2022-07-31,0.036608827834002405,1.370524710904814,0.9925549032586548
trackA_selected,2022-08-31,0.03778016460472395,1.417243809497534,1.0216778043918617
trackA_selected,2022-09-30,0.027188691313520513,0.8646417128284924,1.0472440344325311
trackA_selected,2022-10-31,0.03260797207521443,0.9634689938751512,1.0344484154608262
trackA_selected,2022-11-30,0.037762138051779054,1.1962451634315752,1.0214964747891935
trackA_selected,2022-12-31,0.033300223725706804,1.0879505833465166,1.030661362603029
trackA_selected,2023-01-31,0.03558901339520997,1.1015427928605839,1.0423508309372504
trackA_selected,2023-02-28,0.03881488080172369,1.2720507961993512,1.048697914174817
trackA_selected,2023-03-31,0.061882394574566846,1.7954189346823923,1.0654350368147885
trackA_selected,2023-04-30,0.0660760795732978,1.9151550573427272,1.0723856549638455
trackA_selected,2023-05-31,0.061472901919207894,1.8206069393947897,1.0717787828190661
trackA_selected,2023-06-30,0.06188120462876896,1.85085430943827,1.0752700851885004
trackA_selected,2023-07-31,0.05041972884557336,1.5191430460003392,1.068862138092995
trackA_selected,2023-08-31,0.052834410485279266,1.5495960751170381,1.075013168508539
trackA_selected,2023-09-30,0.04674040399706619,1.3514852497751917,1.0833776202937773
trackA_selected,2023-10-31,0.04032290079676497,1.1366390687961054,1.0581694526429746
trackA_selected,2023-11-30,0.03612979267708347,1.047238666033076,1.0335759845649837
trackA_selected,2023-12-31,0.058512110170937964,1.6766492031589928,1.0596779063927158
trackA_selected,2024-01-31,0.06918482901164777,1.7716192152059225,1.062760258241588
trackA_selected,2024-02-29,0.0849883984723787,1.9591986730846527,1.0648073420764925
trackA_selected,2024-03-31,0.09539484729755676,1.961597764354853,1.071106982521937
trackA_selected,2024-04-30,0.06277678172754482,1.6037277501164215,1.1321050426579964
trackA_selected,2024-05-31,0.07906273895683893,1.994032041612278,1.1485391205194513
trackA_selected,2024-06-30,0.07998684861288241,2.0132116997832195,1.1627439790619465
trackA_selected,2024-07-31,0.06900949271362726,1.9733621500696032,1.2206294880737558
trackA_selected,2024-08-31,0.05342278793337563,1.194055845147092,1.2120699752244268
trackA_selected,2024-09-30,0.06154456077551092,1.410783880489713,1.205028870614743
trackA_selected,2024-10-31,0.07713200362701268,1.8990694388110523,1.2337367253402107
trackA_selected,2024-11-30,0.06302757077479819,1.566098385087795,1.173161143170426
trackA_selected,2024-12-31,0.05826103034477929,1.4179264282850141,1.1809055072096668
trackB_combined,2022-01-31,-0.13101278187058646,-1.6561212365795588,1.2505671179389422
trackB_combined,2022-02-28,-0.09293828744266905,-1.0619023434262025,1.2142067746833036
trackB_combined,2022-03-31,-0.0031997308568418245,-0.0835355525245009,1.0288537759950027
trackB_combined,2022-04-30,-0.003694457099735836,-0.0883836493673845,1.1183085163773883
trackB_combined,2022-05-31,0.005177560618715605,0.11964847054268518,1.1213161583000755
trackB_combined,2022-06-30,0.013136484615878768,0.28276892507314955,1.1267327045907432
trackB_combined,2022-07-31,0.012745127965394155,0.28249975828943347,1.1181234499752208
trackB_combined,2022-08-31,0.03314320152630502,0.6729071924616775,1.137518650744573
trackB_combined,2022-09-30,0.03565492111400835,0.6786024449733491,1.1284301026481935
trackB_combined,2022-10-31,0.02973896305945771,0.5796600133498674,1.095892648024797
trackB_combined,2022-11-30,0.0036955137695756676,0.10172170031054102,0.966097681362165
trackB_combined,2022-12-31,-0.0036571494499808843,-0.11542502285607148,0.9440285706301379
trackB_combined,2023-01-31,-0.0034389797731029445,-0.11347267239304352,0.9530501929576982
trackB_combined,2023-02-28,-0.014536725799206413,-0.5286638959118614,0.9380080575365126
trackB_combined,2023-03-31,-0.01814354377757997,-0.5951836074877902,0.9339676429563267
trackB_combined,2023-04-30,0.00469704620752835,0.15969575627768104,0.9569451805868326
trackB_combined,2023-05-31,-0.0017045885026630934,-0.05662060499133035,0.956156559821637
trackB_combined,2023-06-30,0.016653536589315305,0.588926686669696,0.9796137802048015
trackB_combined,2023-07-31,0.013374264278869674,0.507779070812669,0.9743496384875838
trackB_combined,2023-08-31,0.01450653123417119,0.5547268947680521,0.9806779870649921
trackB_combined,2023-09-30,0.016733600403775306,0.6439842715578651,0.9773137720167139
trackB_combined,2023-10-31,0.018861394072049755,0.8007242497630133,0.9989175802665922
trackB_combined,2023-11-30,0.012707028826145154,0.49933107232667817,0.9833566181723137
trackB_combined,2023-12-31,0.01845114812279553,0.6949088112890861,0.9862218971493315
trackB_combined,2024-01-31,0.020607066695429794,0.691340280030506,0.9752630216138625
trackB_combined,2024-02-29,-0.015601838070535463,-0.4758515087546283,0.9651148885045598
trackB_combined,2024-03-31,-0.006350216531721312,-0.2144448641313671,0.9708709389225455
trackB_combined,2024-04-30,-0.007260001435574686,-0.24347066430123934,0.9673401644096231
trackB_combined,2024-05-31,-0.02004150391041782,-0.6360867364127237,0.961115679371741
trackB_combined,2024-06-30,-0.018541474966278483,-0.5549955068008128,0.9376734248395361
trackB_combined,2024-07-31,-0.0002119698165233136,-0.006507391020697078,0.9239922946423038
trackB_combined,2024-08-31,-0.009225816715460479,-0.28716364446832043,0.9332368833590332
trackB_combined,2024-09-30,-0.007231748089935739,-0.22779832387991658,0.9135675049013732
trackB_combined,2024-10-31,-0.00665764107410359,-0.21424883972321948,0.9329235346905471
trackB_combined,2024-11-30,-0.011206139731177983,-0.37588878966309525,0.9222597874274411
trackB_combined,2024-12-31,-0.03649984969324298,-1.0908606528029525,0.9722002524441242
